0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Цех,Установка,Тех индекс,Инв. Номер,Класс НКО,Зав номер,Марка НКО,Вид,Подвид,Тип,Наименование,Код СМ,Код SAP,Статус,Вид записи,Кол-во,Ед изм,Производитель,Дата установки,Наработка,Типоразмер,Тип нормы,Категория нормирования,Норма расхода,Ед изм,Тек рем,Ср рем,Кап рем,Норма хранения,Правило
Цех №4,ЛЧ-35-11/600,Н-631,183236,Насос поршневой,683,"НД 1.0Р 2,5/100К13В",Поршень/плунжер,Плунжер в сборе,,"Плунжер, черт. № АРТ 40.2-00-004 ПС, поз. 1, рис.2б, иден.№ АР12-01-002-05, насос НД 1.0Р 2,5/100К13В, ООО ""ЗДТ ""Ареопаг""",771265,51481962,Утвержден (имеет код SAP),ERSZ,1,ШТ,"ООО ""ЗДТ ""Ареопаг""",31.12.2014,32449,,MARK,Плунжер (поршень),1,компл,,ПС,+,1 компл.,на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-631,183236,Насос поршневой,683,"НД 1.0Р 2,5/100К13В",Клапан,Клапан прямого действия,Шарик клапана,"Шарик D 6,35, черт. № АРТ 40.2-00-004 ПС, поз. 10, рис.2б, иден. № АР12-01-002-05, насос НД 1.0Р 2,5/100К13В, ООО ""ЗДТ ""Ареопаг""",771268,51481955,Утвержден (имеет код SAP),ERSZ,4,ШТ,"ООО ""ЗДТ ""Ареопаг""",31.12.2014,32449,,MARK,"Клапан всасывающий, клапан нагнетательный",1,компл,ПС,ПС,+,1 компл.,на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-631,183236,Насос поршневой,683,"НД 1.0Р 2,5/100К13В",Уплотнения,Манжета,,"Манжета шевронная, черт. № АРТ 40.2-00-004 ПС, поз. 4-2, рис.2б, иден. № АР18-01-012-0, насос НД 1.0Р 2,5/100К13В, ООО ""ЗДТ ""Ареопаг""",771270,51481954,Утвержден (имеет код SAP),ERSZ,1,ШТ,"ООО ""ЗДТ ""Ареопаг""",31.12.2014,32449,,MARK,Уплотнительная манжета,1,компл,ПС,+,+,1 компл.,На каждую единицу оборудования
Цех №4,ЛЧ-35-11/600,Н-631,183236,Насос поршневой,683,"НД 1.0Р 2,5/100К13В",Уплотнения,Щелевое,Втулка дроссельная,"Грундбукса, черт. № АРТ 40.2-00-004 ПС, поз. 4-5, рис.2б, иден.№ АР18-01-014-02, насос НД 1.0Р 2,5/100К13В, ООО ""ЗДТ ""Ареопаг""",771277,51481839,Утвержден (имеет код SAP),ERSZ,1,ШТ,"ООО ""ЗДТ ""Ареопаг""",31.12.2014,32449,,MARK,Узел уплотнения плунжера,1,компл,,+,+,1 компл.(на все ряды одного насоса),на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-631,183236,Насос поршневой,683,"НД 1.0Р 2,5/100К13В",Клапан,Клапан прямого действия,Прокладка,"Прокладка, черт. № АРТ 40.2-00-004 ПС, поз. 14, рис.2б, иден.№ АР110-01-004, насос НД 1.0Р 2,5/100К13В, ООО ""ЗДТ ""Ареопаг""",771278,51481984,Утвержден (имеет код SAP),ERSZ,2,ШТ,"ООО ""ЗДТ ""Ареопаг""",31.12.2014,32449,,MARK,"Клапан всасывающий, клапан нагнетательный",1,компл,ПС,ПС,+,1 компл.,на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-631,183236,Насос поршневой,683,"НД 1.0Р 2,5/100К13В",Клапан,Клапан прямого действия,Корпус клапана,"Корпус клапана, черт. № АРТ 40.2-00-004 ПС, поз. 12, рис.2б, иден.№ АР110-01-001, насос НД 1.0Р 2,5/100К13В, ООО ""ЗДТ ""Ареопаг""",771281,51481981,Утвержден (имеет код SAP),ERSZ,4,ШТ,"ООО ""ЗДТ ""Ареопаг""",31.12.2014,32449,,MARK,"Клапан всасывающий, клапан нагнетательный",1,компл,ПС,ПС,+,1 компл.,на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-631,183236,Насос поршневой,683,"НД 1.0Р 2,5/100К13В",Клапан,Клапан прямого действия,Седло клапана,"Седло клапана, черт. № АРТ 40.2-00-004 ПС, поз. 11, рис.2б, иден.№ АР110-01-002, насос НД 1.0Р 2,5/100К13В, ООО ""ЗДТ ""Ареопаг""",771282,51482011,Утвержден (имеет код SAP),ERSZ,2,ШТ,"ООО ""ЗДТ ""Ареопаг""",31.12.2014,32449,,MARK,"Клапан всасывающий, клапан нагнетательный",1,компл,ПС,ПС,+,1 компл.,на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-631,183236,Насос поршневой,683,"НД 1.0Р 2,5/100К13В",Привод,Червячная передача,Вал червяка,"Червяк, черт. № АРТ 40.2-00-004 ПС, поз. 30, рис.3, иден.№ АР30-02-002, насос НД 1.0Р 2,5/100К13В, ООО ""ЗДТ ""Ареопаг""",771287,51481982,Утвержден (имеет код SAP),ERSZ,1,ШТ,"ООО ""ЗДТ ""Ареопаг""",31.12.2014,32449,,MARK,Зубчатая передача,1,компл,ПС,ПС,+,1 компл.,на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-608А,132967,Насос центробежный консольный,02100053,A-40-NEG-250-10-OC-FE,Подшипники,Подшипники качения,Радиально-упорный шариковый подшипник,Подшипник SKF 7308 BECBM (аналог FAG 7308-B-MP-UA),303595,50843277,Утвержден (имеет код SAP),ERSZ,2,ШТ,SKF,01.03.2018,16332,Подшипник SKF 7308,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-608Б,132966,Насос центробежный консольный,02100054,A-40-NEG-250-10-OC-FE,Подшипники,Подшипники качения,Радиально-упорный шариковый подшипник,Подшипник SKF 7308 BECBM (аналог FAG 7308-B-MP-UA),303595,50843277,Утвержден (имеет код SAP),ERSZ,2,ШТ,SKF,01.01.2010,45211,Подшипник SKF 7308,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-608Б,132966,Насос центробежный консольный,02100054,A-40-NEG-250-10-OC-FE,Подшипники,Подшипники качения,Подшипник радиальный роликовый,Подшипник SKF NJ 308 ECJ (аналог FAG NL308-E-JP1),303616,50843368,Утвержден (имеет код SAP),ERSZ,1,ШТ,SKF,01.01.2010,45211,Подшипник SKF NJ 308 ECJ,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-624Б,132993,Насос центробежный консольный,02100049,100NED-315-22,Подшипники,Подшипники качения,Подшипник радиальный роликовый,Подшипник SKF N 312 ECM (аналог FAG N312-E-M1),303759,50843347,Утвержден (имеет код SAP),ERSZ,1,ШТ,SKF,01.01.2010,41141,Подшипник SKF N 312 ECM,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-624Б,132993,Насос центробежный консольный,02100049,100NED-315-22,Подшипники,Подшипники качения,Радиально-упорный шариковый подшипник,Подшипник SKF 7312 BECBJ (аналог FAG 7312-B-JP-UA),303599,50843293,Утвержден (имеет код SAP),ERSZ,2,ШТ,SKF,01.01.2010,41141,Подшипник SKF 7312,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-614Б,132962,Насос центробежный консольный,02100020,80-NEA-265-16-OC-05-FE,Подшипники,Подшипники качения,Радиальный шариковый подшипник,Подшипник SKF 6409 (аналог FAG 6409),303592,50843244,Утвержден (имеет код SAP),ERSZ,1,ШТ,SKF,28.12.2020,5822,Подшипник SKF 6409,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
